Album/Osoba	Nr. Projektu
12761		17
12939		4
14223		14
14343		6
14656		4
15136		8
15190		11
15303		15
15490		9
15693		2
15753		13
15834		12
15995		9
16020		7
16144		12
16220		13
16248		15
16388		16
16462		11
16592		4
16832		7
16875		7
17200		2
17223		16
17227		17
17295		9
17540		2
17751		6
17833		1
17894		8
17920		5
18006		13
18021		3
18049		17
18066		12
18395		4
18414		5
18532		5
18540		3
18548		8
18552		10
18568		3
18585		8
18589		7
18601		13
18608		15
18609		2
18615		3
18618		1
18620		5
18646		15
18648		7
18656		6
18682		1
18714		11
18724		9
18728		13
18737		16
18752		14
18784		11
18802		11
18825		16
18830		17
18836		3
18844		15
18845		6
18847		12
18854		14
18896		10
18911		8
18931		14
18942		6
18952		4
18955		2
18988		9
18998		17
19000		5
19020		12
19045		10
19083		1
19086		1
19099		14
19106		1
19169		10
19256		16
19294		10
