'NR_ZAWODOW','NR_ZAWODNIKA','REZULTAT_MIN','REZULTAT_SEK','POZYCJA','PUNKTY_GLOBALNE','PUNKTY_KATEGORII','POZYCJA_KATEGORIA','POZYCJA_GLOBALNIE','LOKATA_W_BIEGU'
1,541,40,7,1,3,34,17,48,48
1,542,52,38,1,,45,6,,178
1,557,43,57,1,,25,26,,95
1,577,36,0,1,36,50,1,15,15
1,584,51,51,1,,50,1,,172
1,585,45,58,1,,29,22,,118
1,596,49,10,1,,48,3,,154
1,598,41,7,1,,45,6,,58
1,601,50,27,1,,11,40,,162
1,616,33,38,1,43,50,1,8,8
1,621,43,28,2,,34,17,,88
1,622,43,8,1,,36,15,,82
1,636,39,11,1,7,33,18,44,44
1,643,47,59,1,,23,28,,140
1,645,38,49,1,11,49,2,40,40
1,648,52,22,1,,18,33,,174
1,651,47,3,1,,26,25,,133
1,655,40,40,1,,31,20,,56
1,656,50,50,1,,20,31,,166
1,660,42,55,1,,48,3,,79
1,663,37,34,1,24,46,5,27,27
1,664,47,30,1,,11,40,,137
1,668,43,29,1,,33,18,,89
1,671,55,17,1,,43,8,,192
1,681,44,58,2,,30,21,,106
1,700,46,30,1,,28,23,,125
1,702,40,21,1,,32,19,,52
1,716,37,41,1,22,38,13,29,29
1,724,38,6,1,18,37,14,33,33
1,726,41,11,1,,30,21,,59
1,727,36,29,1,35,48,3,16,16
1,728,42,7,1,,43,8,,68
1,733,45,11,1,,18,33,,109
1,742,41,13,1,,29,22,,60
1,751,35,30,1,40,43,8,11,11
1,752,37,35,1,23,42,9,28,28
1,776,48,28,1,,21,30,,146
1,780,55,50,1,,15,36,,197
1,788,33,37,2,44,45,6,7,7
1,794,40,18,1,,42,9,,51
1,802,42,37,1,,39,12,,75
1,806,37,10,1,29,40,11,22,22
1,808,43,31,1,,36,15,,90
1,827,40,11,1,2,49,2,49,49
1,828,38,15,1,16,39,12,35,35
1,840,33,37,1,45,46,5,6,6
1,844,45,18,1,,23,28,,110
1,845,43,20,1,,38,13,,84
1,858,48,20,1,,10,41,,144
1,862,48,53,1,,8,43,,152
1,871,44,24,2,,33,18,,99
1,874,41,58,2,,27,24,,66
1,881,43,23,1,,22,29,,85
1,886,47,11,1,,13,38,,135
1,889,43,51,1,,21,30,,93
1,920,60,58,1,,9,42,,212
1,936,42,9,1,,26,25,,70
1,969,37,44,1,21,41,10,30,30
2,4,68,20,1,23,46,5,28,28
2,6,73,46,1,21,44,7,30,30
2,10,62,38,1,29,46,5,22,22
2,18,64,21,1,25,44,7,26,26
2,19,64,41,1,24,46,5,27,27
2,24,58,54,1,34,48,3,17,17
2,25,71,25,1,22,45,6,29,29
2,26,74,31,1,20,43,8,31,31
2,31,49,41,1,47,49,2,4,4
2,33,60,24,1,32,47,4,19,19
2,34,54,33,1,41,48,3,10,10
2,38,56,34,1,37,46,5,14,14
2,40,63,12,1,27,48,3,24,24
2,41,54,57,1,40,50,1,11,11
2,42,55,22,1,38,47,4,13,13
2,45,58,50,1,35,49,2,16,16
2,47,63,40,1,26,47,4,25,25
2,49,50,1,1,46,49,2,5,5
2,51,49,16,1,48,50,1,3,3
2,52,54,15,1,42,48,3,9,9
